Cores,DNN_F,Rate_F,DNN_B,Rate_B,Resp_F,Resp_B,F_75,B_75,Mean_F,Mean_B,avg_inc_resp_f,avg_dec_resp_f,avg_inc_util_f,avg_inc_peaks_f,avg_dec_util_f,avg_dec_peaks_f,avg_inc_resp_b,avg_dec_resp_b,avg_inc_util_b,avg_inc_peaks_b,avg_dec_util_b,avg_dec_peaks_b,sla_75,sla_100,sla_125,sla_150,sla_175,sla_200,sla_225,sla_250,sla_275,total_inc_resp,total_dec_resp,total_inc_util,total_inc_peaks,total_dec_util,total_dec_peaks,relative_rank_f,relative_rank_b,Baseline_F,Baseline_B,Inflation_F,Inflation_B,F_10,B_10,F_25,B_25,F_50,B_50,F_90,B_90,F_75_Range,Mean_F_Range,B_75_Range,Mean_B_Range
6,Distilbert,2,Resnet,3,162.9,133.3,28,29.8,23.1,23.4,0.526206749,0.472477386,0.562671053,0.526206749,0.265195554,0.492366957,0.214989617,0.533319304,0.512825722,0.214989617,0.279842236,0.19545181,0,0,0,0,1,1,1,1,1,0.741196366,1.00579669,1.075496775,0.741196366,0.54503779,0.687818767,5.5,2.25,103.2,102,1.578488372,1.306862745,2,8,10,13,18,22,40.3,45,3,2,3,2
6,Distilbert,2,Resnet,4,173.1,143,29,52,22.8,42.3,0.526206749,0.472477386,0.562671053,0.526206749,0.265195554,0.492366957,0.214989617,0.533319304,0.512825722,0.214989617,0.279842236,0.19545181,0,0,0,0,1,1,1,1,1,0.741196366,1.00579669,1.075496775,0.741196366,0.54503779,0.687818767,5.5,2.25,103.2,102,1.677325581,1.401960784,2,16,12,25,20,35,47,100,3,2,8,6
6,Distilbert,2,Resnet,5,184.6,155.4,35,53,29.1,40.3,0.526206749,0.472477386,0.562671053,0.526206749,0.265195554,0.492366957,0.214989617,0.533319304,0.512825722,0.214989617,0.279842236,0.19545181,0,0,0,0,0,1,1,1,1,0.741196366,1.00579669,1.075496775,0.741196366,0.54503779,0.687818767,5.5,2.25,103.2,102,1.78875969,1.523529412,2,2,13,27,21,40,79,70,5,3,8,6
6,Distilbert,3,Resnet,3,164.6,130.2,36,35,23,26,0.526206749,0.472477386,0.562671053,0.526206749,0.265195554,0.492366957,0.214989617,0.533319304,0.512825722,0.214989617,0.279842236,0.19545181,0,0,0,0,1,1,1,1,1,0.741196366,1.00579669,1.075496775,0.741196366,0.54503779,0.687818767,5.5,2.25,103.2,102,1.59496124,1.276470588,0,0,9.25,10,24,22,45,48,5,2,5,3
6,Distilbert,3,Resnet,4,183.1,147.3,48,44,38,35.6,0.526206749,0.472477386,0.562671053,0.526206749,0.265195554,0.492366957,0.214989617,0.533319304,0.512825722,0.214989617,0.279842236,0.19545181,0,0,0,0,0,1,1,1,1,0.741196366,1.00579669,1.075496775,0.741196366,0.54503779,0.687818767,5.5,2.25,103.2,102,1.774224806,1.444117647,11.9,15,21,24,32,35.5,79.2,57,7,5,6,5
6,Distilbert,3,Resnet,5,202.3,176.8,42.8,66.8,31.9,48.8,0.526206749,0.472477386,0.562671053,0.526206749,0.265195554,0.492366957,0.214989617,0.533319304,0.512825722,0.214989617,0.279842236,0.19545181,0,0,0,0,0,0,1,1,1,0.741196366,1.00579669,1.075496775,0.741196366,0.54503779,0.687818767,5.5,2.25,103.2,102,1.960271318,1.733333333,10,2,19.25,34,31,43,53.3,100,6,4,10,7
6,Distilbert,4,Resnet,3,184.7,138.3,50,39.8,38.8,31.4,0.526206749,0.472477386,0.562671053,0.526206749,0.265195554,0.492366957,0.214989617,0.533319304,0.512825722,0.214989617,0.279842236,0.19545181,0,0,0,0,0,1,1,1,1,0.741196366,1.00579669,1.075496775,0.741196366,0.54503779,0.687818767,5.5,2.25,103.2,102,1.789728682,1.355882353,11,8,28,15.25,38.5,27,62.5,56,8,5,5,4
6,Distilbert,4,Resnet,4,196,144.9,53.3,43,43.4,33.5,0.526206749,0.472477386,0.562671053,0.526206749,0.265195554,0.492366957,0.214989617,0.533319304,0.512825722,0.214989617,0.279842236,0.19545181,0,0,0,0,0,1,1,1,1,0.741196366,1.00579669,1.075496775,0.741196366,0.54503779,0.687818767,5.5,2.25,103.2,102,1.899224806,1.420588235,18,17,30.75,24,41,35,69.3,53,8,6,6,4
6,Distilbert,4,Resnet,5,239.7,187.3,60,56,44.9,43.6,0.526206749,0.472477386,0.562671053,0.526206749,0.265195554,0.492366957,0.214989617,0.533319304,0.512825722,0.214989617,0.279842236,0.19545181,0,0,0,0,0,0,0,1,1,0.741196366,1.00579669,1.075496775,0.741196366,0.54503779,0.687818767,5.5,2.25,103.2,102,2.322674419,1.83627451,17,3,28,32,45,43,74.5,68,10,6,9,6
6,Distilbert,2,Bert,5,171.4,77.9,42,31,32.1,25.6,0.526206749,0.472477386,0.562671053,0.526206749,0.265195554,0.492366957,0.239766803,0.390128141,0.652593923,0.239766803,0.417399244,0.139891775,0,0,0,0,1,1,1,1,1,0.765973552,0.862605527,1.215264976,0.765973552,0.682594798,0.632258732,5.5,2.5,103.2,55.2,1.660852713,1.411231884,2,7.5,11.75,16,23,23,100,40,6,4,4,3
